x;y;u;v;column;row
0.0000;0.0000;0.0009;-0.0044;0;0
0.0345;0.0000;0.0326;-0.0037;1;0
0.0690;0.0000;0.0648;-0.0030;2;0
0.1034;0.0000;0.0975;-0.0023;3;0
0.1379;0.0000;0.1306;-0.0017;4;0
0.1724;0.0000;0.1640;-0.0011;5;0
0.2069;0.0000;0.1976;-0.0005;6;0
0.2414;0.0000;0.2315;-0.0000;7;0
0.2759;0.0000;0.2655;0.0005;8;0
0.3103;0.0000;0.2996;0.0010;9;0
0.3448;0.0000;0.3339;0.0015;10;0
0.3793;0.0000;0.3682;0.0019;11;0
0.4138;0.0000;0.4026;0.0024;12;0
0.4483;0.0000;0.4370;0.0028;13;0
0.4828;0.0000;0.4715;0.0032;14;0
0.5172;0.0000;0.5059;0.0036;15;0
0.5517;0.0000;0.5404;0.0040;16;0
0.5862;0.0000;0.5750;0.0043;17;0
0.6207;0.0000;0.6096;0.0046;18;0
0.6552;0.0000;0.6443;0.0048;19;0
0.6897;0.0000;0.6790;0.0050;20;0
0.7241;0.0000;0.7139;0.0050;21;0
0.7586;0.0000;0.7489;0.0049;22;0
0.7931;0.0000;0.7842;0.0046;23;0
0.8276;0.0000;0.8197;0.0041;24;0
0.8621;0.0000;0.8554;0.0033;25;0
0.8966;0.0000;0.8915;0.0022;26;0
0.9310;0.0000;0.9281;0.0007;27;0
0.9655;0.0000;0.9650;-0.0012;28;0
1.0000;0.0000;1.0026;-0.0037;29;0
0.0000;0.0526;0.0037;0.0498;0;1
0.0345;0.0526;0.0358;0.0502;1;1
0.0690;0.0526;0.0684;0.0507;2;1
0.1034;0.0526;0.1014;0.0511;3;1
0.1379;0.0526;0.1347;0.0515;4;1
0.1724;0.0526;0.1683;0.0519;5;1
0.2069;0.0526;0.2021;0.0522;6;1
0.2414;0.0526;0.2361;0.0526;7;1
0.2759;0.0526;0.2703;0.0529;8;1
0.3103;0.0526;0.3045;0.0532;9;1
0.3448;0.0526;0.3389;0.0535;10;1
0.3793;0.0526;0.3733;0.0539;11;1
0.4138;0.0526;0.4078;0.0542;12;1
0.4483;0.0526;0.4422;0.0545;13;1
0.4828;0.0526;0.4767;0.0548;14;1
0.5172;0.0526;0.5112;0.0551;15;1
0.5517;0.0526;0.5457;0.0554;16;1
0.5862;0.0526;0.5803;0.0557;17;1
0.6207;0.0526;0.6148;0.0559;18;1
0.6552;0.0526;0.6494;0.0561;19;1
0.6897;0.0526;0.6841;0.0562;20;1
0.7241;0.0526;0.7189;0.0563;21;1
0.7586;0.0526;0.7538;0.0562;22;1
0.7931;0.0526;0.7889;0.0560;23;1
0.8276;0.0526;0.8242;0.0557;24;1
0.8621;0.0526;0.8598;0.0551;25;1
0.8966;0.0526;0.8956;0.0542;26;1
0.9310;0.0526;0.9319;0.0530;27;1
0.9655;0.0526;0.9685;0.0514;28;1
1.0000;0.0526;1.0057;0.0493;29;1
0.0000;0.1053;0.0051;0.1037;0;2
0.0345;0.1053;0.0374;0.1039;1;2
0.0690;0.1053;0.0703;0.1042;2;2
0.1034;0.1053;0.1035;0.1044;3;2
0.1379;0.1053;0.1370;0.1046;4;2
0.1724;0.1053;0.1708;0.1048;5;2
0.2069;0.1053;0.2048;0.1050;6;2
0.2414;0.1053;0.2389;0.1052;7;2
0.2759;0.1053;0.2732;0.1054;8;2
0.3103;0.1053;0.3076;0.1056;9;2
0.3448;0.1053;0.3420;0.1058;10;2
0.3793;0.1053;0.3765;0.1060;11;2
0.4138;0.1053;0.4110;0.1062;12;2
0.4483;0.1053;0.4455;0.1064;13;2
0.4828;0.1053;0.4800;0.1066;14;2
0.5172;0.1053;0.5145;0.1068;15;2
0.5517;0.1053;0.5490;0.1071;16;2
0.5862;0.1053;0.5835;0.1073;17;2
0.6207;0.1053;0.6180;0.1075;18;2
0.6552;0.1053;0.6526;0.1077;19;2
0.6897;0.1053;0.6872;0.1078;20;2
0.7241;0.1053;0.7219;0.1079;21;2
0.7586;0.1053;0.7567;0.1079;22;2
0.7931;0.1053;0.7917;0.1078;23;2
0.8276;0.1053;0.8268;0.1075;24;2
0.8621;0.1053;0.8622;0.1071;25;2
0.8966;0.1053;0.8978;0.1064;26;2
0.9310;0.1053;0.9338;0.1054;27;2
0.9655;0.1053;0.9702;0.1041;28;2
1.0000;0.1053;1.0070;0.1024;29;2
0.0000;0.1579;0.0053;0.1574;0;3
0.0345;0.1579;0.0380;0.1574;1;3
0.0690;0.1579;0.0710;0.1574;2;3
0.1034;0.1579;0.1044;0.1575;3;3
0.1379;0.1579;0.1381;0.1576;4;3
0.1724;0.1579;0.1721;0.1577;5;3
0.2069;0.1579;0.2062;0.1578;6;3
0.2414;0.1579;0.2404;0.1578;7;3
0.2759;0.1579;0.2748;0.1579;8;3
0.3103;0.1579;0.3092;0.1580;9;3
0.3448;0.1579;0.3437;0.1581;10;3
0.3793;0.1579;0.3783;0.1583;11;3
0.4138;0.1579;0.4128;0.1584;12;3
0.4483;0.1579;0.4473;0.1585;13;3
0.4828;0.1579;0.4818;0.1587;14;3
0.5172;0.1579;0.5164;0.1588;15;3
0.5517;0.1579;0.5509;0.1590;16;3
0.5862;0.1579;0.5854;0.1592;17;3
0.6207;0.1579;0.6199;0.1593;18;3
0.6552;0.1579;0.6544;0.1595;19;3
0.6897;0.1579;0.6889;0.1596;20;3
0.7241;0.1579;0.7236;0.1597;21;3
0.7586;0.1579;0.7583;0.1598;22;3
0.7931;0.1579;0.7931;0.1597;23;3
0.8276;0.1579;0.8281;0.1596;24;3
0.8621;0.1579;0.8633;0.1592;25;3
0.8966;0.1579;0.8988;0.1587;26;3
0.9310;0.1579;0.9345;0.1580;27;3
0.9655;0.1579;0.9706;0.1569;28;3
1.0000;0.1579;1.0071;0.1555;29;3
0.0000;0.2105;0.0049;0.2108;0;4
0.0345;0.2105;0.0378;0.2106;1;4
0.0690;0.2105;0.0711;0.2106;2;4
0.1034;0.2105;0.1046;0.2105;3;4
0.1379;0.2105;0.1385;0.2105;4;4
0.1724;0.2105;0.1725;0.2105;5;4
0.2069;0.2105;0.2067;0.2105;6;4
0.2414;0.2105;0.2411;0.2105;7;4
0.2759;0.2105;0.2755;0.2105;8;4
0.3103;0.2105;0.3100;0.2106;9;4
0.3448;0.2105;0.3446;0.2106;10;4
0.3793;0.2105;0.3791;0.2106;11;4
0.4138;0.2105;0.4137;0.2107;12;4
0.4483;0.2105;0.4482;0.2108;13;4
0.4828;0.2105;0.4828;0.2109;14;4
0.5172;0.2105;0.5173;0.2110;15;4
0.5517;0.2105;0.5518;0.2111;16;4
0.5862;0.2105;0.5862;0.2113;17;4
0.6207;0.2105;0.6207;0.2114;18;4
0.6552;0.2105;0.6552;0.2115;19;4
0.6897;0.2105;0.6897;0.2117;20;4
0.7241;0.2105;0.7243;0.2118;21;4
0.7586;0.2105;0.7589;0.2119;22;4
0.7931;0.2105;0.7937;0.2119;23;4
0.8276;0.2105;0.8285;0.2118;24;4
0.8621;0.2105;0.8636;0.2115;25;4
0.8966;0.2105;0.8989;0.2112;26;4
0.9310;0.2105;0.9344;0.2106;27;4
0.9655;0.2105;0.9702;0.2098;28;4
1.0000;0.2105;1.0065;0.2087;29;4
0.0000;0.2632;0.0042;0.2639;0;5
0.0345;0.2632;0.0373;0.2637;1;5
0.0690;0.2632;0.0707;0.2635;2;5
0.1034;0.2632;0.1044;0.2634;3;5
0.1379;0.2632;0.1384;0.2633;4;5
0.1724;0.2632;0.1725;0.2632;5;5
0.2069;0.2632;0.2068;0.2632;6;5
0.2414;0.2632;0.2413;0.2631;7;5
0.2759;0.2632;0.2757;0.2631;8;5
0.3103;0.2632;0.3103;0.2631;9;5
0.3448;0.2632;0.3449;0.2631;10;5
0.3793;0.2632;0.3794;0.2631;11;5
0.4138;0.2632;0.4140;0.2631;12;5
0.4483;0.2632;0.4486;0.2632;13;5
0.4828;0.2632;0.4831;0.2632;14;5
0.5172;0.2632;0.5176;0.2633;15;5
0.5517;0.2632;0.5521;0.2634;16;5
0.5862;0.2632;0.5866;0.2635;17;5
0.6207;0.2632;0.6210;0.2636;18;5
0.6552;0.2632;0.6555;0.2638;19;5
0.6897;0.2632;0.6899;0.2639;20;5
0.7241;0.2632;0.7244;0.2640;21;5
0.7586;0.2632;0.7590;0.2641;22;5
0.7931;0.2632;0.7937;0.2641;23;5
0.8276;0.2632;0.8284;0.2641;24;5
0.8621;0.2632;0.8634;0.2640;25;5
0.8966;0.2632;0.8985;0.2637;26;5
0.9310;0.2632;0.9339;0.2633;27;5
0.9655;0.2632;0.9695;0.2627;28;5
1.0000;0.2632;1.0055;0.2618;29;5
0.0000;0.3158;0.0034;0.3169;0;6
0.0345;0.3158;0.0366;0.3166;1;6
0.0690;0.3158;0.0702;0.3163;2;6
0.1034;0.3158;0.1041;0.3161;3;6
0.1379;0.3158;0.1381;0.3160;4;6
0.1724;0.3158;0.1724;0.3159;5;6
0.2069;0.3158;0.2067;0.3158;6;6
0.2414;0.3158;0.2412;0.3158;7;6
0.2759;0.3158;0.2757;0.3157;8;6
0.3103;0.3158;0.3103;0.3157;9;6
0.3448;0.3158;0.3449;0.3157;10;6
0.3793;0.3158;0.3794;0.3157;11;6
0.4138;0.3158;0.4140;0.3156;12;6
0.4483;0.3158;0.4486;0.3157;13;6
0.4828;0.3158;0.4831;0.3157;14;6
0.5172;0.3158;0.5176;0.3157;15;6
0.5517;0.3158;0.5521;0.3158;16;6
0.5862;0.3158;0.5866;0.3159;17;6
0.6207;0.3158;0.6210;0.3160;18;6
0.6552;0.3158;0.6554;0.3161;19;6
0.6897;0.3158;0.6898;0.3162;20;6
0.7241;0.3158;0.7243;0.3163;21;6
0.7586;0.3158;0.7588;0.3164;22;6
0.7931;0.3158;0.7934;0.3165;23;6
0.8276;0.3158;0.8281;0.3165;24;6
0.8621;0.3158;0.8629;0.3164;25;6
0.8966;0.3158;0.8979;0.3163;26;6
0.9310;0.3158;0.9331;0.3160;27;6
0.9655;0.3158;0.9686;0.3155;28;6
1.0000;0.3158;1.0043;0.3148;29;6
0.0000;0.3684;0.0026;0.3697;0;7
0.0345;0.3684;0.0361;0.3693;1;7
0.0690;0.3684;0.0698;0.3690;2;7
0.1034;0.3684;0.1037;0.3688;3;7
0.1379;0.3684;0.1378;0.3687;4;7
0.1724;0.3684;0.1721;0.3685;5;7
0.2069;0.3684;0.2065;0.3685;6;7
0.2414;0.3684;0.2410;0.3684;7;7
0.2759;0.3684;0.2756;0.3683;8;7
0.3103;0.3684;0.3101;0.3683;9;7
0.3448;0.3684;0.3447;0.3683;10;7
0.3793;0.3684;0.3793;0.3682;11;7
0.4138;0.3684;0.4139;0.3682;12;7
0.4483;0.3684;0.4485;0.3682;13;7
0.4828;0.3684;0.4830;0.3682;14;7
0.5172;0.3684;0.5175;0.3682;15;7
0.5517;0.3684;0.5520;0.3683;16;7
0.5862;0.3684;0.5864;0.3683;17;7
0.6207;0.3684;0.6208;0.3684;18;7
0.6552;0.3684;0.6552;0.3685;19;7
0.6897;0.3684;0.6897;0.3686;20;7
0.7241;0.3684;0.7241;0.3687;21;7
0.7586;0.3684;0.7586;0.3688;22;7
0.7931;0.3684;0.7931;0.3689;23;7
0.8276;0.3684;0.8277;0.3689;24;7
0.8621;0.3684;0.8624;0.3689;25;7
0.8966;0.3684;0.8973;0.3688;26;7
0.9310;0.3684;0.9324;0.3687;27;7
0.9655;0.3684;0.9677;0.3683;28;7
1.0000;0.3684;1.0033;0.3678;29;7
0.0000;0.4211;0.0020;0.4223;0;8
0.0345;0.4211;0.0356;0.4219;1;8
0.0690;0.4211;0.0694;0.4216;2;8
0.1034;0.4211;0.1034;0.4214;3;8
0.1379;0.4211;0.1376;0.4212;4;8
0.1724;0.4211;0.1719;0.4211;5;8
0.2069;0.4211;0.2064;0.4211;6;8
0.2414;0.4211;0.2409;0.4210;7;8
0.2759;0.4211;0.2754;0.4209;8;8
0.3103;0.4211;0.3100;0.4209;9;8
0.3448;0.4211;0.3446;0.4209;10;8
0.3793;0.4211;0.3792;0.4209;11;8
0.4138;0.4211;0.4138;0.4208;12;8
0.4483;0.4211;0.4484;0.4208;13;8
0.4828;0.4211;0.4829;0.4208;14;8
0.5172;0.4211;0.5174;0.4208;15;8
0.5517;0.4211;0.5519;0.4209;16;8
0.5862;0.4211;0.5863;0.4209;17;8
0.6207;0.4211;0.6207;0.4209;18;8
0.6552;0.4211;0.6551;0.4210;19;8
0.6897;0.4211;0.6895;0.4211;20;8
0.7241;0.4211;0.7239;0.4212;21;8
0.7586;0.4211;0.7583;0.4213;22;8
0.7931;0.4211;0.7928;0.4214;23;8
0.8276;0.4211;0.8274;0.4214;24;8
0.8621;0.4211;0.8621;0.4215;25;8
0.8966;0.4211;0.8969;0.4214;26;8
0.9310;0.4211;0.9318;0.4213;27;8
0.9655;0.4211;0.9670;0.4211;28;8
1.0000;0.4211;1.0024;0.4207;29;8
0.0000;0.4737;0.0016;0.4749;0;9
0.0345;0.4737;0.0353;0.4745;1;9
0.0690;0.4737;0.0692;0.4742;2;9
0.1034;0.4737;0.1032;0.4739;3;9
0.1379;0.4737;0.1375;0.4738;4;9
0.1724;0.4737;0.1718;0.4737;5;9
0.2069;0.4737;0.2063;0.4736;6;9
0.2414;0.4737;0.2408;0.4736;7;9
0.2759;0.4737;0.2754;0.4736;8;9
0.3103;0.4737;0.3100;0.4735;9;9
0.3448;0.4737;0.3446;0.4735;10;9
0.3793;0.4737;0.3792;0.4735;11;9
0.4138;0.4737;0.4138;0.4735;12;9
0.4483;0.4737;0.4483;0.4735;13;9
0.4828;0.4737;0.4828;0.4735;14;9
0.5172;0.4737;0.5173;0.4735;15;9
0.5517;0.4737;0.5518;0.4735;16;9
0.5862;0.4737;0.5862;0.4735;17;9
0.6207;0.4737;0.6206;0.4735;18;9
0.6552;0.4737;0.6550;0.4736;19;9
0.6897;0.4737;0.6894;0.4736;20;9
0.7241;0.4737;0.7238;0.4737;21;9
0.7586;0.4737;0.7582;0.4738;22;9
0.7931;0.4737;0.7927;0.4739;23;9
0.8276;0.4737;0.8272;0.4739;24;9
0.8621;0.4737;0.8618;0.4740;25;9
0.8966;0.4737;0.8965;0.4740;26;9
0.9310;0.4737;0.9314;0.4740;27;9
0.9655;0.4737;0.9665;0.4738;28;9
1.0000;0.4737;1.0017;0.4736;29;9
0.0000;0.5263;0.0013;0.5275;0;10
0.0345;0.5263;0.0351;0.5270;1;10
0.0690;0.5263;0.0691;0.5267;2;10
0.1034;0.5263;0.1032;0.5264;3;10
